Epoch,Accuracy,Phi_IIT,Phi_Star_Barrett,Phi_Star_Decoder,Phi_Approx
1,0.46000000834465027,0.022583,0.007176625246115245,0.4001758136495923,0.0032059671449277427
2,0.46000000834465027,0.02548,0.0070584418406384256,0.1749063174598633,0.005475845370480619
3,0.46000000834465027,0.027685,0.0058097624091403635,0.25016604616071847,0.008721952254816824
4,0.7225000262260437,0.017338,0.005914874761072997,0.5039406748170603,0.015197574699694162
5,1.0,0.01888,0.007199141725800599,0.1124948341785661,0.021889967070844077
6,1.0,0.013827,0.007309972342290746,0.11546427358140621,0.026812779965933963
7,1.0,0.011017,0.006528316551037583,0.12434342107474716,0.03013176931492425
8,1.0,0.01807,0.00740664244175392,0.11223097478765287,0.0377900946685918
9,1.0,0.010854,0.00621953341048118,0.09248063742495027,0.061462021416852655
10,1.0,0.009097,0.005492305470292284,0.12980429051382447,0.037918408652503316
