epoch,accuracy,shap_X,shap_Y,shap_A,shap_B,shap_EOS,shap_total
1,0.47333333333333333,8.441711892971505e-10,1.3697261565094444e-10,5.8696127210441864e-08,4.1119663336736624e-05,2.198707666076206e-05,6.316641726851406e-05
2,0.47333333333333333,6.073877752853383e-10,3.947917184235996e-10,5.270589853037623e-08,6.149960601519231e-05,3.029462944463128e-05,9.184794353784767e-05
3,0.5266666666666666,3.421720578251753e-11,5.227179144673e-10,1.5727264255486925e-08,8.235952738266568e-05,3.042562994924096e-05,0.00011280144153128238
4,0.4816666666666667,9.456698028460415e-11,8.932356838055578e-10,2.9078342003743516e-08,9.490973225903495e-05,3.392803785067071e-05,0.00012886783625437349
5,0.47,4.421615437903652e-10,1.2394698310841183e-09,5.5510016389572195e-08,9.198371419516353e-05,3.315558618355058e-05,0.00012519649202647856
6,0.47,5.550171651651999e-10,1.234267296582151e-09,9.946670118060401e-08,9.194580977436468e-05,3.267566672582519e-05,0.00012472273248583223
7,0.47,1.4925017380338937e-09,9.923967922493346e-10,1.4556983476594546e-07,0.00012963191199384734,3.743119202653412e-05,0.0001672111587536777
8,0.4683333333333333,1.9409724649261447e-09,2.814827436867126e-10,1.577406676297507e-07,0.00011463378053438284,3.8069226015020106e-05,0.00015286296967224132
9,0.47,3.853251677436257e-09,5.642865676693155e-10,2.639176808343193e-07,0.00011778217169726985,3.951533373821473e-05,0.000157565840654564
10,0.4683333333333333,8.48978188083004e-09,5.1009402730370665e-09,3.4762161317645365e-07,0.000191358131446146,5.0877145731387143e-05,0.00024259648951286346
11,0.46166666666666667,9.260763996576526e-09,1.150431414539863e-08,4.922850155840252e-07,0.00016322582445254456,4.655500740523745e-05,0.000210293881951508
12,0.4683333333333333,7.227588535103965e-09,1.2413112851482488e-08,3.085858341533607e-07,0.00018090073775676614,5.394138091433635e-05,0.00023517034520664242
13,0.47,6.945215420386232e-09,1.0514355716290318e-08,3.8607757168649527e-07,0.00014050508633857317,4.481675705982787e-05,0.0001857253805412242
14,0.47,1.066360646717612e-08,1.21995944618797e-08,6.146580600801387e-07,0.00015248251914353698,4.904262587205898e-05,0.00020216266627660516
15,0.4816666666666667,1.2231183097915838e-08,1.2971791636626103e-08,5.672563977804473e-07,0.00017053418363420145,4.780170957216584e-05,0.00021892835257888228
16,0.47833333333333333,2.226812694114296e-08,1.8372443527952056e-08,8.898457121933621e-07,0.00018568120518306166,5.363157321464525e-05,0.00024024326468036937
17,0.4683333333333333,2.5599106656933916e-08,1.5316709587567506e-08,1.0541582327418913e-06,0.00014474798031642683,4.203064614776897e-05,0.0001878737005131822
18,0.46166666666666667,2.731279802187854e-08,1.4112683322343434e-08,1.2092010046895092e-06,0.00013076903067286026,4.0359925911714505e-05,0.0001723795830706085
19,0.495,5.335076795105393e-08,3.1716431810427485e-08,2.072691874066854e-06,0.00016889997560683671,7.681783729456267e-05,0.00024787557197522775
20,0.5183333333333333,3.7808376283344886e-07,2.531580945351926e-07,7.62822987543135e-06,0.0005315938243906398,0.0005629576242787999,0.0011028109204022397
21,0.49166666666666664,1.357770218176287e-06,3.4772625944104586e-07,2.0211334895705863e-05,0.00023885473160350734,0.0003434511004301444,0.0006042226634069749
22,0.5266666666666666,2.7759352695284182e-05,1.1011312131577815e-05,5.631639041173374e-05,6.990301119955848e-05,1.553214507327506e-05,0.00018052221151142927
23,0.4866666666666667,5.263032154861894e-06,1.532691415828022e-06,2.4395131308768867e-05,9.432243437541015e-05,2.2256389430481245e-05,0.00014776967868535018
24,0.5116666666666667,1.5613813075006534e-05,7.055022181385314e-06,0.0001593412613265935,0.0012371080409691283,0.0007534154930459631,0.0021725336305980767
25,0.585,0.0007545015372748333,0.00030858601300369373,0.001473398822096463,0.002613013803341138,0.0012176766718018151,0.006367176847517943
26,0.47333333333333333,1.1725579931311146e-05,2.0426361526612413e-06,3.369388748559375e-05,0.00010842668684550093,1.877042919377179e-05,0.00017465921960883887
27,0.4683333333333333,1.070307597688548e-05,1.465585675722044e-06,2.0241219101160786e-05,0.00010031097824427166,2.0406819117338452e-05,0.00015312767811537844
28,0.5266666666666666,7.99736133514536e-06,2.6080706007986823e-06,1.8603488139651914e-05,8.36615118040979e-05,2.1677143395276365e-05,0.00013454757527497024
29,0.4683333333333333,1.133009713137451e-05,1.2733870742067667e-06,1.3119310893355033e-05,9.534403843407278e-05,2.24595593134188e-05,0.00014352639284642788
30,0.5266666666666666,7.237279723369739e-06,4.856695251772988e-06,4.3801162001517205e-05,7.633668537566874e-05,2.2459726667791488e-05,0.00015469154902012015
31,0.5266666666666666,7.229453383697799e-06,4.332985663327068e-06,4.249651763436508e-05,8.561748156024698e-05,2.4496998308079666e-05,0.00016417343654971658
32,0.4583333333333333,1.1333857072107399e-05,8.696946283456095e-07,1.2843210454544029e-05,0.00010068270516814412,2.6542732308868165e-05,0.00015227219963200934
33,0.5266666666666666,6.2522692980388065e-06,4.4201431561153495e-06,4.890676584859145e-05,8.882546300478432e-05,2.5789453761254438e-05,0.00017419409506878438
34,0.47333333333333333,1.7838270100818828e-05,2.7547581617968547e-06,7.371456237163257e-06,0.00014329991828285725,3.304373198520134e-05,0.00020430813476783754
35,0.5266666666666666,6.903630938977669e-06,3.707660997549653e-06,4.803182107740739e-05,0.00010084935145270126,2.6439330823941885e-05,0.00018593179529057782
36,0.47333333333333333,1.7742364489869812e-05,2.6783527187709057e-06,7.1702055875971985e-06,0.00014560032179990773,3.172097550702377e-05,0.0002049122201031694
37,0.4583333333333333,1.4424143689590584e-05,1.1032093634545012e-06,1.3064732243745477e-05,0.0001414399774573372,3.33016211739071e-05,0.00020333368392803488
38,0.46166666666666667,9.248792150519537e-06,1.4463075029690723e-06,3.447159513567781e-05,0.00012627531626099807,3.127204754909752e-05,0.000202714058599262
39,0.4766666666666667,1.4274691536128453e-05,1.1836861174751225e-06,1.1794781872979344e-05,0.00014665235116633756,3.465502845614625e-05,0.00020856053914906675
40,0.4583333333333333,1.538984919158827e-05,1.573860414180427e-06,1.0173699570322838e-05,0.00015162793215283595,3.6286746716282575e-05,0.00021505208804521004
41,0.47333333333333333,6.7217083405868944e-06,2.5101924137147684e-06,4.389224900578015e-05,0.00012398856441023183,3.308481805847009e-05,0.00021019753222878374
42,0.4583333333333333,1.6639448398867293e-05,1.8655875478380586e-06,1.185496258045707e-05,0.00016390633118664634,4.029148191123916e-05,0.00023455781162504792
43,0.565,6.710890623733375e-06,3.6125975585403263e-06,6.252945850771617e-05,0.00012322497238961982,3.7606265541870534e-05,0.00023368418462148022
44,0.4583333333333333,1.60935315105201e-05,2.286447212690569e-06,9.22116719117219e-06,0.00016256345813257206,3.964923520415518e-05,0.0002298138392511101
45,0.47,1.1843811685543592e-05,5.576322187995107e-07,1.8409923113836154e-05,0.00013966523688476766,3.640916396120721e-05,0.00020688576786415412
46,0.47,1.424275989118676e-05,1.0248386378495728e-06,1.7167671181466362e-05,0.0001575831952008337,4.161484094586749e-05,0.0002316333058572039
47,0.4683333333333333,1.4548420859943722e-05,9.557088982074586e-07,1.9704916711016612e-05,0.0001540188940352506,3.8202376362611985e-05,0.0002274303168670304
48,0.5266666666666666,9.747144170245505e-06,2.5114930862089212e-06,6.475265334186015e-05,0.00012781408260222125,3.6345907241472715e-05,0.00024117128044200855
49,0.4766666666666667,2.311443374310329e-05,5.121473447237196e-06,3.103498455653382e-05,0.0002116113083446485,4.882417160369123e-05,0.00031970637169521405
50,0.49666666666666665,1.2045691381807181e-05,5.763415208969456e-07,3.60141434185008e-05,0.00011458187948402572,3.1746150773450925e-05,0.00019496420657868157
51,0.4816666666666667,1.4112196415045152e-05,1.111854501073482e-06,2.3036300686625417e-05,0.00014387175525378898,3.850552501493168e-05,0.00022063763187146472
52,0.4816666666666667,1.423177132756724e-05,1.4515219868008622e-06,2.089336304077363e-05,0.00013573256229676745,3.833802550058477e-05,0.00021064724415249396
53,0.4583333333333333,2.074120875760046e-05,4.9656308016084125e-06,3.551568785138721e-05,0.0002117088532718076,5.219289537914962e-05,0.0003251242760615533
54,0.4583333333333333,1.8918818580762796e-05,4.553382982704886e-06,3.345576659275592e-05,0.00020489590340550337,5.1150504316764574e-05,0.00031297437587849157
55,0.47333333333333333,1.3527473637589506e-05,3.748343759955081e-06,3.723185974439079e-05,0.0001770018100746932,5.1963994737049625e-05,0.0002834734819536782
56,0.585,0.0008727394402334691,0.00041190978603272964,0.0017932669388990893,0.0030857164014988538,0.0015251258588205566,0.007688758425484698
57,0.585,0.0010564126608708939,0.0005691212486421847,0.0008955073721709982,0.0024737303966078828,0.0022006860611503676,0.007195457739442327
58,0.595,0.003066179267339791,0.0015853621141405266,0.002227021799662488,0.0030828413453883635,0.002411374603259987,0.012372779129791157
59,0.5983333333333334,0.0011237005311197034,0.0006139231090303172,0.0008310976945866387,0.00213805579814586,0.001220428844258919,0.005927205977141438
60,0.585,0.0011789783966591788,0.0006464035400077946,0.0014176221100425115,0.002497203168640981,0.0012221231674433826,0.006962330382793848
61,0.585,0.0012429956969190485,0.0006711966347136114,0.0010371114382818152,0.0019463611068011723,0.0010782078506645857,0.005975872727380233
62,0.585,0.0010838181025242448,0.0005903881697817821,0.0009796658940266303,0.0020185193033230224,0.0012015441590835505,0.00587393562873923
63,0.585,0.0008765769342082298,0.00047340603569855734,0.0009112359765974771,0.0017994753100354143,0.0008970699765428409,0.004957764233082519
64,0.5733333333333334,0.0007859638587093334,0.00044422675793767826,0.0009813990565420963,0.002473695691069819,0.0015993853487899976,0.006284670713048925
65,0.585,0.000976115003884245,0.0005397059924579958,0.0009627001291767033,0.0021527666324046768,0.0010264791918555148,0.005657766949779135
66,0.605,0.0007774965611776234,0.00043436350235193783,0.000820690443546169,0.0024778803287131995,0.001860970587341467,0.0063714014231303975
67,0.585,0.0010518292527914937,0.0005677457276206801,0.0007762252582484687,0.0019886037982006816,0.0012458534392510879,0.005630257476112412
68,0.585,0.0011018134476175553,0.000591545395781762,0.0008886958192635139,0.0027238686019695384,0.0021189498427929177,0.007424873107425288
69,0.6716666666666666,0.0013635937506633192,0.000768699733615975,0.000949547262620882,0.004164727167956541,0.003882104045113779,0.011128671959970495
70,0.585,0.0008596630780061177,0.00047880437995537493,0.0007767242246193468,0.002060277034992687,0.0006618833127721392,0.004837352030345666
71,0.585,0.0008392697347294751,0.00047603385107990696,0.0008629865336497835,0.0021761661027938192,0.0015881712151697852,0.00594262743742277
72,0.585,0.0018760910538501616,0.0010372359773769522,0.0017946796282583251,0.0029460602771260135,0.0013240886397318885,0.008978155576343341
73,0.585,0.0008476943644864476,0.0004803145687522773,0.0006904573751473581,0.0021032626427346466,0.0007738540770212193,0.004895583028141949
74,0.585,0.0007347511608447687,0.00041742107857840833,0.0011736128888049093,0.0030200069788445054,0.0016215359618843503,0.006967328068956943
75,0.585,0.0007175794995915834,0.0004088266396787334,0.0009188736115975691,0.002537899337029718,0.001610466651661976,0.00619364573955958
76,0.585,0.0008415089178779539,0.00048079948272759543,0.0010837013957121912,0.0027293346233918515,0.001245387135764668,0.00638073155547426
77,0.585,0.0007886345986969454,0.00045787704286355844,0.001098407433418547,0.0027405657615418634,0.0014040909081922837,0.006489575744713198
78,0.585,0.0006523581476129636,0.00038289943284943443,0.0010335934213727787,0.0029320823847865966,0.0024276361918916653,0.007428569578513439
79,0.585,0.0008231499322273447,0.0004813992389548061,0.001189167697209047,0.003065611311317717,0.0013128661673487514,0.006872194347057666
80,0.6766666666666666,0.0016261766684413986,0.0009328418223390299,0.0016080543972878199,0.004809516677294877,0.0063919465707105915,0.015368536136073717
81,0.585,0.0007351379879708777,0.0004237862423171161,0.0011372212106896002,0.002462437029519771,0.0014390952454849401,0.006197677715982305
82,0.585,0.000560973934465534,0.0003343547332776422,0.0011004866620674754,0.002671049066769727,0.00114124022191156,0.005808104618491939
83,0.585,0.0010040380686684653,0.0006086769351484994,0.0014807400556685437,0.00332588602481905,0.0018279036664751991,0.008247244750779757
84,0.585,0.0009113251022340801,0.000547351003473506,0.0011537290694513926,0.002664226235772682,0.0014359235164524897,0.00671255492738415
85,0.585,0.0010078038609530296,0.0006049803730525,0.0013483943273059351,0.003011679720028255,0.0018256604178752587,0.007798518699214978
86,0.585,0.0007248828379604178,0.000449963435544027,0.0010858468840865543,0.002648653048042071,0.0017164497364566356,0.006625795942089705
87,0.73,0.0007249540225740163,0.0005114713072027909,0.001872476438387737,0.005768997113282183,0.0032628145064916244,0.01214071338793835
88,0.5666666666666667,0.0017671368772707863,0.001057264924715448,0.002342487866744123,0.005549004399320575,0.0013883473916984851,0.012104241459749417
89,0.5266666666666666,0.00025597968998934245,0.00010410682942192243,5.5805829598057214e-05,0.0003075672433023337,5.158639548662231e-05,0.0007750459877982781
90,0.5266666666666666,0.00019953121186052966,8.584441478295183e-05,5.748610299133992e-05,0.0003281887776821449,5.260431152361921e-05,0.0007236548188405855
91,0.4766666666666667,0.00018320103012687202,8.085246104315888e-05,6.0244227924162814e-05,0.0003670671370530696,5.9433474309756806e-05,0.0007507983304570201
92,0.52,0.00014835247938619294,6.990996834011404e-05,5.970345872188541e-05,0.00035371363680685515,5.478921654617741e-05,0.000686468759801225
93,0.5316666666666666,0.00012059466305153262,6.192152638255653e-05,5.799554979079473e-05,0.0003563980419005226,5.6666990513837796e-05,0.0006535767716392443
94,0.5316666666666666,9.790525371452662e-05,5.51548424334248e-05,5.700697007967569e-05,0.000352448515003677,5.7518420270618525e-05,0.0006200340015019227
95,0.4766666666666667,9.009051524927367e-05,5.249161087838864e-05,5.8733248419803915e-05,0.00037573440640524015,6.0050417420859037e-05,0.0006371001983735654
96,0.4766666666666667,8.041619446282343e-05,5.073072209995223e-05,5.81601913428568e-05,0.000378743557896794,6.027956343376463e-05,0.0006283302292361911
97,0.4866666666666667,6.9375320629749e-05,4.665653168167748e-05,5.617795925650381e-05,0.0003683872271735881,6.001817562860705e-05,0.0006006152143701255
98,0.4766666666666667,6.389662807535185e-05,4.642269505819529e-05,5.8068714837100246e-05,0.00039089128234327624,6.31893401030336e-05,0.0006224686604169572
99,0.4866666666666667,4.5138689015065794e-05,4.148738863188084e-05,5.6184279762092645e-05,0.0003735285910014241,6.103357969627885e-05,0.0005773725281067422
100,0.4866666666666667,3.501351144537964e-05,3.949111388323623e-05,5.5437683280476644e-05,0.00037129323530251486,6.244720784695374e-05,0.0005636827517585611
101,0.4683333333333333,3.0123435016826587e-05,3.857344407097791e-05,5.3692115055663775e-05,0.00036898969646536304,6.469636039818637e-05,0.0005560750510070177
102,0.5266666666666666,1.3625065323544226e-05,3.48683884041276e-05,5.053732468765988e-05,0.0003524237538920682,6.051416554262493e-05,0.0005119686978500249
103,0.4766666666666667,1.5570280558744407e-05,3.484900611699602e-05,5.3536067186284534e-05,0.0003839800494122384,6.382905110651205e-05,0.0005517644543807755
104,0.4683333333333333,7.869593497364093e-06,3.180469428480137e-05,5.053185870682941e-05,0.00037582533262764666,6.369403038851721e-05,0.0005297255095051588
105,0.5316666666666666,1.6678167089324878e-05,2.9304392610221714e-05,4.831397404543719e-05,0.00036540827412120594,6.461289090024103e-05,0.0005243176987664308
106,0.4766666666666667,6.976137171107067e-06,3.2798161619414005e-05,5.1793871382951686e-05,0.00041153221571746715,7.435812397670403e-05,0.000577458509867644
107,0.5033333333333333,1.6337160415517874e-05,3.096963767624134e-05,4.7640295263376084e-05,0.0003630448757535213,6.778886774551487e-05,0.0005257808368541715
108,0.5233333333333333,2.626302441374854e-05,2.7944961241802154e-05,4.5902917076407166e-05,0.00034356370959091745,6.423039180636245e-05,0.0005079050041292378
109,0.4683333333333333,2.205289044704167e-05,2.8890830367917827e-05,4.614899201934378e-05,0.00036157839413506604,7.118114043681065e-05,0.00052985224740618
